Cover,English_Title,Japanses_Title,Type,Source,Audience,N_Episodes,Duration,Status,Rating,Score,Scored_by,Rank,Season,Genre,Theme,Released,Finished,Studios,Producers
https://cdn.myanimelist.net/images/anime/10/24649l.jpg,Trinity Blood,トリニティ・ブラッド,TV,Light novel,[],24,24 min per ep,Finished Airing,R - 17+ (violence & profanity),7.3,78063.0,2517.0,spring,"['Action', 'Supernatural']",['Vampire'],2005,2005,['Gonzo'],[]
https://cdn.myanimelist.net/images/anime/3/76432l.jpg,Yakitate!! Japan,焼きたて!! ジャぱん,TV,Manga,['Shounen'],69,24 min per ep,Finished Airing,PG-13 - Teens 13 or older,7.92,39715.0,686.0,fall,"['Comedy', 'Gourmet']",[],2004,2006,['Sunrise'],"['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']"
https://cdn.myanimelist.net/images/anime/13/75740l.jpg,Zipang,ジパング,TV,Manga,['Seinen'],26,24 min per ep,Finished Airing,PG-13 - Teens 13 or older,7.49,6964.0,1743.0,fall,"['Action', 'Drama', 'Sci-Fi']","['Adult Cast', 'Historical', 'Military', 'Time Travel']",2004,2005,['Studio Deen'],"['Marvelous', 'TBS']"
https://cdn.myanimelist.net/images/anime/1314/108941l.jpg,Neon Genesis Evangelion,新世紀エヴァンゲリオン,TV,Original,[],26,24 min per ep,Finished Airing,PG-13 - Teens 13 or older,8.34,973031.0,207.0,fall,"['Action', 'Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']","['Mecha', 'Psychological']",1995,1996,"['Gainax', 'Tatsunoko Production']","['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']"
https://cdn.myanimelist.net/images/anime/1993/113122l.jpg,Neon Genesis Evangelion: Death & Rebirth,新世紀エヴァンゲリオン劇場版 シト新生,Movie,Original,[],1,1 hr 44 min,Finished Airing,R - 17+ (violence & profanity),7.46,134643.0,1836.0,,"['Drama', 'Sci-Fi']","['Mecha', 'Psychological']",1997,1997,"['Gainax', 'Production I.G']","['Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']"
https://cdn.myanimelist.net/images/anime/1404/98182l.jpg,Neon Genesis Evangelion: The End of Evangelion,新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,Movie,Original,[],1,1 hr 26 min,Finished Airing,R+ - Mild Nudity,8.55,554949.0,99.0,,"['Avant Garde', 'Drama', 'Sci-Fi']","['Mecha', 'Psychological']",1997,1997,"['Gainax', 'Production I.G']","['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']"
https://cdn.myanimelist.net/images/anime/1384/119988l.jpg,Kenpuu Denki Berserk,剣風伝奇ベルセルク,TV,Manga,['Seinen'],25,25 min per ep,Finished Airing,R+ - Mild Nudity,8.55,303494.0,97.0,fall,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Gore', 'Military', 'Mythology']",1997,1998,['OLM'],"['VAP', 'Hakusensha', 'Nippon Television Network']"
https://cdn.myanimelist.net/images/anime/10/82594l.jpg,Koukaku Kidoutai,GHOST IN THE SHELL（攻殻機動隊）,Movie,Manga,['Seinen'],1,1 hr 22 min,Finished Airing,R+ - Mild Nudity,8.27,303292.0,267.0,,"['Action', 'Mystery', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Detective', 'Mecha', 'Psychological']",1995,1995,['Production I.G'],"['Bandai Visual', 'Kodansha']"
https://cdn.myanimelist.net/images/anime/1391/120839l.jpg,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,るろうに剣心―明治剣客浪漫譚―追憶編,OVA,Manga,['Shounen'],4,30 min per ep,Finished Airing,R - 17+ (violence & profanity),8.71,131623.0,47.0,,"['Action', 'Drama', 'Romance']","['Adult Cast', 'Historical', 'Martial Arts', 'Samurai']",1999,1999,['Studio Deen'],['Aniplex']
https://cdn.myanimelist.net/images/anime/1346/119505l.jpg,Rurouni Kenshin: Meiji Kenkaku Romantan,るろうに剣心 -明治剣客浪漫譚-,TV,Manga,['Shounen'],94,25 min per ep,Finished Airing,PG-13 - Teens 13 or older,8.29,224804.0,250.0,winter,"['Action', 'Adventure', 'Comedy', 'Romance']","['Historical', 'Samurai']",1996,1998,"['Gallop', 'Studio Deen']","['Aniplex', 'SME Visual Works', 'Fuji TV']"
https://cdn.myanimelist.net/images/anime/4/47845l.jpg,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,Movie,Manga,['Shounen'],1,1 hr 31 min,Finished Airing,R - 17+ (violence & profanity),7.55,26377.0,1517.0,,['Drama'],"['Historical', 'Samurai']",1997,1997,['Gallop'],"['Fuji TV', 'Sony Music Entertainment']"
https://cdn.myanimelist.net/images/anime/1408/114012l.jpg,Akira,AKIRA（アキラ）,Movie,Manga,['Seinen'],1,2 hr 4 min,Finished Airing,R+ - Mild Nudity,8.16,461638.0,383.0,,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Supernatural']","['Gore', 'Military']",1988,1988,['Tokyo Movie Shinsha'],"['Mainichi Broadcasting System', 'Kodansha', 'Toho', 'Streamline Pictures']"
https://cdn.myanimelist.net/images/anime/1443/94665l.jpg,.hack//Sign,.hack//SIGN,TV,Original,[],26,24 min per ep,Finished Airing,PG-13 - Teens 13 or older,6.95,81812.0,4178.0,spring,"['Adventure', 'Fantasy', 'Mystery', 'Sci-Fi']",['Video Game'],2002,2002,['Bee Train'],"['Bandai Visual', 'Yomiko Advertising', 'Bandai', 'CyberConnect2']"
https://cdn.myanimelist.net/images/anime/11/71215l.jpg,Aa! Megami-sama!,ああっ女神さまっ,OVA,Manga,['Seinen'],5,30 min per ep,Finished Airing,PG-13 - Teens 13 or older,7.3,25935.0,2500.0,,"['Comedy', 'Romance', 'Supernatural']",[],1993,1993,['AIC'],"['Bandai Visual', 'KSS', 'Pony Canyon', 'TBS', 'Kodansha', 'Half H.P Studio', 'Nichion']"
https://cdn.myanimelist.net/images/anime/1976/99376l.jpg,Aa! Megami-sama! (TV),ああっ女神さまっ,TV,Manga,['Seinen'],24,24 min per ep,Finished Airing,PG-13 - Teens 13 or older,7.33,75191.0,2358.0,winter,"['Comedy', 'Romance', 'Supernatural']",[],2005,2005,['AIC'],"['Bandai Visual', 'TBS', 'Imagine']"
https://cdn.myanimelist.net/images/anime/11/45208l.jpg,Tenshi Kinryouku,天使禁猟区,OVA,Manga,['Shoujo'],3,29 min per ep,Finished Airing,R+ - Mild Nudity,6.28,26384.0,7721.0,,"['Action', 'Drama', 'Romance', 'Supernatural']",['Reincarnation'],2000,2000,['Hal Film Maker'],"['Bandai Visual', 'Lantis', 'Audio Tanaka']"
https://cdn.myanimelist.net/images/anime/1192/113699l.jpg,Kidou Tenshi Angelic Layer,機動天使エンジェリックレイヤー,TV,Manga,['Shounen'],26,24 min per ep,Finished Airing,PG-13 - Teens 13 or older,7.26,28081.0,2709.0,spring,"['Comedy', 'Drama', 'Sci-Fi', 'Sports']",[],2001,2001,['Bones'],"['Dentsu', 'TV Tokyo Music']"
